HELPER,class,team
kevin ramos11/29/2007ft. lauderdale- fl,2025,NYY
kevin robinson10/26/2005glendale- az,2025,TOR
kevin scott06/05/2003seaside- ca,2025,CHC
kevin young05/21/2004malden- mo,2025,SEA
kurt faulkner02/20/2004jenkintown- pa,2025,UNSIGNED
kurt render08/05/2006delta- ut,2025,WAS
lanny villegas07/08/2003nampa- id,2025,BOS
len schmidt11/04/2004indianapolis- in,2025,PHI
leo goode12/23/2006logan- ut,2025,KC
leo jones06/16/2006san jose- ca,2025,UNSIGNED
leo reynolds12/22/2003madison heights- mi,2025,SF
leon alonso03/21/2005north bergen- nj,2025,UNSIGNED
leon taylor03/16/2004mustang- ok,2025,WAS
les woods08/22/2003waxahachie- tx,2025,CLE
lonnie farris06/13/2005milford- mi,2025,CHC
lonnie harris01/18/2005toledo- oh,2025,PIT
luis antonio garcia12/17/2007weaverville- ca,2025,UNSIGNED
luis lozano03/17/2001longmont- co,2025,LAA
luis martinez06/13/2006carolina- car,2025,WAS
luis martinez06/17/2006eldorado at santa fe- nm,2025,UNSIGNED
luis nunez03/30/2007mansfield- oh,2025,SEA
luis sanchez09/03/2007tucson- az,2025,CIN
lyndon ryan01/03/2004red lake falls- mn,2025,SEA
mac beach04/10/2004salisbury- nc,2025,CLE
mal binning09/07/2006canton- ny,2025,PHI
mal blencowe04/29/2006plano- tx,2025,UNSIGNED
mario donahue12/25/2006temple terrace- fl,2025,UNSIGNED
mario gonzalez06/04/2002carolina- car,2025,NYM
mauro guerra11/15/2006plymouth- ma,2025,ATL
michael pierre12/03/2003thunder bay- on,2025,PIT
mike brocksopp09/15/2006corsicana- tx,2025,MIA
mike buckner12/27/2006los angeles- ca,2025,UNSIGNED
mike cook04/25/2003rancho calaveras- ca,2025,UNSIGNED
mike deweese05/27/2003new york- ny,2025,OAK
mike diaz01/18/2007story city- ia,2025,STL
mike domingo02/05/2006lynwood- ca,2025,PIT
mike feckley11/03/2005marshall- mo,2025,LAA
mike lonie07/16/2006clayton- oh,2025,CLE
mike mccann01/02/2004ft. worth- tx,2025,SF
mike morgan03/09/2005stockton- ca,2025,PIT
mike scott02/27/2005clearfield- ut,2025,UNSIGNED
mike terry03/16/2003haltom city- tx,2025,NYM
mike wiley11/30/2002gahanna- oh,2025,CIN
mitch perry07/24/2002hopkins- mn,2025,CHC
nelson carmona12/03/2002brooklyn- oh,2025,MIA
nelson marrero12/25/2006grand rapids- mi,2025,OAK
nils vigouroux04/28/2007sainte-adele- qc,2025,UNSIGNED
norm matsumoto jr.08/03/2004blythe- ca,2025,MIA
odalis mendoza03/25/2006mayaguez- may,2025,UNSIGNED
ollie mckeachan01/23/2006hutchinson island south- fl,2025,CHC
orlando robles04/02/2006boston- ma,2025,UNSIGNED
oscar rowe06/14/2003michigan city- in,2025,UNSIGNED
p.j. powers04/29/2002carrollton- tx,2025,TB
pancho landalos06/14/2002orion- il,2025,PIT
pat bryant02/24/2004baltimore- md,2025,CLE
pat carlson10/03/2000statesboro- ga,2025,NYM
pat conley01/06/2004san francisco- ca,2025,HOU
pat hall11/04/2004lafayette- in,2025,STL
pat hutchins09/04/2006waco- tx,2025,TB
pat jones01/12/2003charlotte- nc,2025,SEA
pat walker01/13/2003central falls- ri,2025,OAK
pat williamson11/04/2004san luis obispo- ca,2025,UNSIGNED
pete george02/02/2007hinsdale- il,2025,UNSIGNED
phil carson05/28/2003sparks- nv,2025,SEA
phil riggs01/01/2007queen creek- az,2025,UNSIGNED
phil taylor06/19/2006ebensburg- pa,2025,UNSIGNED
quentin barton02/19/2005ames- ia,2025,TOR
quincy jacobson09/01/2006champaign- il,2025,SF
r.j. mcguire05/15/2007big timber- mt,2025,UNSIGNED
randy herman06/30/2006carson city- nv,2025,CIN
randy kelley08/02/2007richmond heights- mo,2025,UNSIGNED
randy mitchell01/26/2004springfield- va,2025,BOS
raul diaz02/21/2002daytona beach- fl,2025,PIT
raul garcia06/07/2007murrysville- pa,2025,MIA
raul madrigal02/16/2004dayton- nv,2025,CLE
rob gray08/21/2005bailey's crossroads- va,2025,TOR
rob marquez01/25/2003hanover park- il,2025,OAK
rob mcdonald11/22/2006gautier- ms,2025,NYY
rob olson08/30/2006the woodlands- tx,2025,UNSIGNED
rob vokes08/03/2003chicago- il,2025,ARI
robbie mays04/14/2007levittown- ny,2025,UNSIGNED
robbie schaefer02/19/2004temecula- ca,2025,ATL
robby bell12/28/2006spring valley- nv,2025,UNSIGNED
robby shelton10/03/2003norwalk- ca,2025,PIT
robby simpson11/11/2003winona- mn,2025,LAD
ron arundel12/29/2006spokane- wa,2025,SD
ron hines04/30/2002adelanto- ca,2025,UNSIGNED
ron lowe09/11/2006elgin- il,2025,BAL
ron phelps02/09/2006downey- ca,2025,MIA
ronnie glover09/03/2005newark- nj,2025,UNSIGNED
ruben gonzales07/16/2006sabana grande- pon,2025,TOR
rusty brewer01/03/2007talladega- al,2025,SEA
ryuuken1789 behm12/18/2002taft- ca,2025,NYY
sam perkins01/22/2005rock island- il,2025,STL
sam reed09/06/2006security-widefield- co,2025,COL
sam sloan06/13/2005la mesa- ca,2025,CLE
sancho arellano11/22/2007tigard- or,2025,TEX
sancho gallegos11/22/2006lebanon- tn,2025,PHI
sandy gray02/27/2004ft. worth- tx,2025,MIA
scotty burns12/05/2006little falls- mn,2025,UNSIGNED
sean burton10/30/2004brownsville- tx,2025,HOU
sean diaz11/03/2007north kensington- md,2025,TOR
sergio rodriguez12/29/2006norfolk- va,2025,CWS
shawn romero11/13/2005los angeles- ca,2025,LAA
shawn singleton09/23/2007mt. zion- il,2025,NYY
sid baird02/04/2004chicago- il,2025,UNSIGNED
sonny patterson03/13/2007new orleans- la,2025,LAD
sotaro nomura04/22/2007miura- kan,2025,CIN
stan taylor11/22/2006killeen- tx,2025,BOS
steve burks09/11/2006greenacres- fl,2025,SEA
steve doncaster04/29/2003west sacramento- ca,2025,LAA
steve fox10/02/2007springfield- pa,2025,ATL
steve gallagher08/02/2006harker heights- tx,2025,KC
steve grant07/03/2007warwick- ri,2025,TEX
steve harris08/06/2007chapel hill- nc,2025,COL
steve james03/26/2004montclair- va,2025,BOS
steve jones06/05/2006houston- tx,2025,TB
steve jordan02/06/2005des moines- ia,2025,UNSIGNED
steve murphy10/09/2006thornton- co,2025,UNSIGNED
steve page01/12/2007houston- tx,2025,PHI
steve ricks09/16/2006san antonio- tx,2025,TB
steve sutton10/20/2006phoenix- az,2025,MIN
steve trent03/27/2006goose creek- sc,2025,SF
stu jones12/06/2006university city- mo,2025,MIA
stu lindsay09/06/2006los angeles- ca,2025,NYM
t.j. king01/12/2004toledo- oh,2025,UNSIGNED
t.j. o'brien03/16/2002green haven- md,2025,CIN
t.j. thomason11/27/2004honolulu- hi,2025,UNSIGNED
teddy wellander08/11/2001elfers- fl,2025,UNSIGNED
theodore duval07/13/2005newmarket- on,2025,TB
tim caldwell08/27/2007frisco- tx,2025,PHI
tim fullerton07/04/2006orange- ca,2025,BAL
tim hahn09/12/2006santa paula- ca,2025,UNSIGNED
tim harper12/15/2006rochester- ny,2025,NYY
tim harris04/11/2006tonawanda- ny,2025,UNSIGNED
tim lambright10/18/2006columbia- mo,2025,UNSIGNED
tim lutz02/03/2007parshall- nd,2025,OAK
tim mccabe07/03/2002everett- ma,2025,PHI
tim snider06/09/2006shelby- mi,2025,UNSIGNED
toby charles01/10/2007tucson- az,2025,UNSIGNED
toby saunders09/17/2003murfreesboro- tn,2025,LAA
tommy davis01/20/2005massena- ny,2025,TOR
tommy rodriguez01/29/2004columbia- mo,2025,UNSIGNED
tony clark01/26/2007texarkana- tx,2025,OAK
tony miller02/11/2007springfield- pa,2025,MIL
tony moore08/14/2005castle rock- co,2025,MIL
ty potter04/05/2005killeen- tx,2025,PIT
vic clark07/16/2002allouez- wi,2025,LAD
vic murphy05/04/2004framingham- ma,2025,NYM
vic thompson12/27/2006new orleans- la,2025,BAL
wally evans09/11/2007new york- ny,2025,SD
walt best06/02/2002freetown- ma,2025,LAD
walt graves12/07/2003san marcos- tx,2025,PHI
walt tomlinson12/15/2006indianapolis- in,2025,SF
walt william01/03/2007west bend- wi,2025,OAK
whit hayes07/03/2007olivehurst- ca,2025,NYY
willie harris03/01/2006miami gardens- fl,2025,TB
zak hernandez11/07/2006beaufort- sc,2025,UNSIGNED
zak nash01/09/2005newport news- va,2025,LAA
zak palmer07/08/2006costa mesa- ca,2025,UNSIGNED
jeremy cooper10/11/2003dayton- oh,2024,MIL
ken price01/20/2005college station- tx,2024,PIT
tim edwards12/11/2003gadsden- al,2024,BAL
ron blair08/28/2002hammond- in,2024,DET
doug davis04/30/2000vamo- fl,2024,UNSIGNED
wes maxwell05/02/2001palm springs- ca,2024,TB
tim cook01/17/2006reading- pa,2024,UNSIGNED
jeff taylor03/15/2003brookline- ma,2024,UNSIGNED
jonathon sanderson03/16/2002kansas city- ks,2024,MIA
danny hair06/29/2003hurst- tx,2024,UNSIGNED
ken hill06/25/2002catalina foothills- az,2024,MIA
willie johnson06/09/2003utica- ny,2024,ARI
steve king07/01/2001rockledge- fl,2024,COL
shawn schmidt05/28/2005riverton- ut,2024,CIN
rusty richardson10/05/2002valley stream- ny,2024,SD
doug jackson06/29/2001lexington- ky,2024,MIN
tim jacobs09/07/2003swansea- ma,2024,PIT
mario rojas06/27/2003denver- co,2024,UNSIGNED
steve stone11/21/2001university place- wa,2024,UNSIGNED
ernie tynedale06/17/2002west little river- fl,2024,COL
steve dickey11/13/2002nice- ca,2024,WAS
dave carlin01/05/2003minot- nd,2024,DET
john klassen08/04/2005south stormont- on,2024,SD
junior carter10/02/2002los angeles- ca,2024,CIN
steve graves10/23/2002dana point- ca,2024,LAA
ed mckenzie12/20/2005yankton- sd,2024,UNSIGNED
stan funk05/04/2002houston- tx,2024,COL
elvis brown02/17/2002rural hill- tn,2024,BOS
chuck plourde04/23/2005conroe- tx,2024,SEA
chris stone05/22/2005milford- ct,2024,NYY
geoff kirkland08/31/2002streamwood- il,2024,ATL
mal armstrong11/23/2004bethesda- md,2024,CWS
ron hunt08/17/2003rosamond- ca,2024,UNSIGNED
wilson aguirre11/19/2002new york- ny,2024,KC
tomas pimentel10/05/2003waterbury- ct,2024,BOS
robbie campbell12/07/2002milwaukee- wi,2024,SEA
dominic hughes06/05/2001holbrook- ny,2024,MIN
dusty foley11/22/2005san jose- ca,2024,UNSIGNED
juan carrillo10/25/2002redondo beach- ca,2024,ARI
bob o'corley01/06/2002sandy- ut,2024,UNSIGNED
clint thigpen09/22/2002sunset- fl,2024,DET
manny deleon04/04/2005forest park- il,2024,ATL
dani ramirez03/26/2005lexington- nc,2024,CLE
kip newton12/01/2002chicago- il,2024,CIN
arief kawilarang10/28/2005memphis- tn,2024,UNSIGNED
al roberts06/06/2003nashville- tn,2024,HOU
jorge sobrin03/29/2001kearny- az,2024,CHC
doug archer05/25/2001fontana- ca,2024,COL
ed randolph09/09/2003ft. scott- ks,2024,BOS
jon hilton03/01/2002charlotte- nc,2024,UNSIGNED
ty hoffman11/21/2003palm bay- fl,2024,NYM
mike cooper05/18/2003westminster- co,2024,SF
jose ramirez11/24/2002sugar land- tx,2024,MIL
ron evans06/30/2003gloucester- ma,2024,UNSIGNED
jim jones06/08/2001keyport- nj,2024,UNSIGNED
kevin gordon05/30/2003palmetto estates- fl,2024,OAK
ben knight12/08/2005arlington- tx,2024,MIA
ken dupree06/02/2003woods creek- wa,2024,NYY
jim briggs07/02/2002maryland heights- mo,2024,TB
steve ramsey07/24/2003peekskill- ny,2024,KC
ben smith07/19/2003columbus- oh,2024,MIL
kurt blake05/29/2005firestone- co,2024,NYM
dave smith01/01/2003indianapolis- in,2024,DET
augusto molina06/10/2003daly city- ca,2024,PIT
ron jones10/12/2005san angelo- tx,2024,SEA
bob shepherd04/25/2005stow- oh,2024,UNSIGNED
steve marshall06/13/2003st. petersburg- fl,2024,UNSIGNED
kel mooney02/24/2001hull- ma,2024,KC
pete ashe07/28/2003new york- ny,2024,NYY
chris phillips08/10/2005winona- ms,2024,CIN
ron lewis09/01/2002north massapequa- ny,2024,STL
zach blackwell01/20/2002visalia- ca,2024,UNSIGNED
alex mcpherson02/14/2003winston-salem- nc,2024,TOR
chris browning11/11/2005mcleansboro- il,2024,CLE
dave hayes05/29/2003bruceville-eddy- tx,2024,TB
josh mcintyre04/18/2000portland- or,2024,UNSIGNED
dan rose08/20/2003albuquerque- nm,2024,ARI
dave brewster11/07/2002bay village- oh,2024,CIN
daiyo gregory05/02/2004st. george- ut,2024,LAA
ken wilson09/24/2001clearwater- fl,2024,OAK
leo woods06/23/2005cicero- il,2024,ARI
jeff shelton02/24/2005san antonio- tx,2024,DET
noel harper08/26/2003joliet- il,2024,WAS
greg pitts04/18/2003goodlettsville- tn,2024,CHC
greg goodman09/01/2005poughkeepsie- ny,2024,UNSIGNED
ty hardison07/31/2003chesapeake- va,2024,UNSIGNED
sam wedge02/13/2006saskatoon- sk,2024,TOR
ken murphy11/05/2001lubbock- tx,2024,COL
phil huff01/29/2003austin- tx,2024,UNSIGNED
bob allen05/28/2005kennewick- wa,2024,SD
hector pena11/07/2001santa clarita- ca,2024,CIN
rob hammond09/08/2005milwaukee- wi,2024,SD
cliff mceachan01/26/2003lake purdy- al,2024,UNSIGNED
joe raines01/10/2003syracuse- ny,2024,CLE
andy o'neal03/28/2006honey brook- pa,2024,NYM
johnathan ross jr.03/29/2002union hill-novelty hill- wa,2024,COL
bob davis07/29/2003cicero- il,2024,SD
tony ray02/11/2006san francisco- ca,2024,BAL
chris short12/10/2005corsicana- tx,2024,TB
max scots11/24/2001brawley- ca,2024,COL
ernesto mendoza07/11/2005shawnee- ks,2024,HOU
alvin fisher09/19/2003greenwood- mo,2024,COL
dan richter12/08/2002royal palm beach- fl,2024,UNSIGNED
jon waterston02/27/2002chicago- il,2024,CIN
haffy mcneice03/16/2004san jose- ca,2024,DET
jimmy dawson04/11/2005barrington- ri,2024,UNSIGNED
juan mejia11/22/2003pearl- ms,2024,COL
sean george11/07/2005east lyme- ct,2024,DET
mike hardin09/01/2001modesto- ca,2024,BAL
juan lopez09/18/2002independence- mo,2024,NYY
dan jackson12/16/2005oakland- ca,2024,CIN
tim miles02/21/2006san luis obispo- ca,2024,TB
randy pearson05/19/2002elkhart- in,2024,DET
jose cabral01/28/2005williamstown- nj,2024,CWS
ken thomas02/12/2003santa monica- ca,2024,MIN
rocky johnson02/07/2002ft. worth- tx,2024,ATL
alex shepardson10/31/2005evanston- il,2024,TEX
tim russell10/02/2000steamboat springs- co,2024,UNSIGNED
tommy maddox05/30/2001cochituate- ma,2024,DET
eugenio gonzalez07/24/2003san diego- ca,2024,UNSIGNED
al wilson09/30/2001detroit- mi,2024,BAL
cristian mejia03/15/2004san sebastian- may,2024,WAS
gil stephenson11/15/2005livonia- mi,2024,ARI
ken finch02/14/2002milwaukie- or,2024,COL
steve barry11/24/2005greenville- al,2024,PIT
bob bryan06/15/2005sioux falls- sd,2024,UNSIGNED
kevin woods11/29/2003savannah- ga,2024,LAA
greg king05/04/2005south hill- wa,2024,TEX
kevin porter03/05/2002taunton- ma,2024,CHC
oscar lockridge06/30/2002odin- il,2024,CWS
robbie beckenbauer12/05/2000washington- dc,2024,MIL
arturo lopez12/25/2003san juan- san,2024,KC
sean thompson12/04/2003pleasant hill- ca,2024,UNSIGNED
don horn08/29/2005paradise- nv,2024,UNSIGNED
jeff chaney08/02/2003redding- ca,2024,UNSIGNED
jerry thomas07/12/2005portland- or,2024,DET
josh montgomery10/11/2003clayton- mo,2024,KC
jonny valdez04/03/2005fairfax- va,2024,UNSIGNED
don rodgers07/28/2002arbutus- md,2024,CWS
steve hurt05/31/2005grand rapids- mi,2024,NYM
josh battle04/01/2005san jose- ca,2024,BOS
dan alexander09/11/2002palm coast- fl,2024,DET
jim goodman04/13/2004honolulu- hi,2024,UNSIGNED
sergio chabel07/14/2003macon- ga,2024,CIN
jake johnson03/13/2003fox river grove- il,2024,UNSIGNED
greg green07/30/2001warren- ar,2024,UNSIGNED
hervey dean12/20/2001heber- ut,2024,CHC
joonas timonen06/06/2002new berlin- wi,2024,BOS
alvin holmes12/11/2005shaler township- pa,2024,UNSIGNED
kevyn rawlings04/12/2003edmonton- ab,2024,OAK
terence edwards12/26/2003hialeah- fl,2024,SD
eric smith05/16/2002wauwatosa- wi,2024,WAS
randy moore01/18/2001rosedale- md,2024,NYM
alec johnston07/27/2002orange- nj,2024,KC
joe gray03/10/2005dallas- tx,2024,SD
bob richardson08/12/2003tulare- ca,2024,COL
josh parker05/06/2005apache junction- az,2024,NYM
jose sepulveda04/16/2006rialto- ca,2024,SEA
manny guerrero03/02/2002north miami- fl,2024,CIN
leonardo garcia05/24/2001san juan- san,2024,COL
jerry shirley01/23/2003titusville- fl,2024,DET
curt coleman09/03/2003cedar grove- wi,2024,CLE
river washington05/07/2005ft. worth- tx,2024,NYY
steve sexton10/11/2003york harbor- me,2024,OAK
alan o'donnell11/02/2005oakville- mo,2024,UNSIGNED
steve hanson10/17/2006brownsville- tx,2024,SEA
cliff adams12/12/2005opelika- al,2024,BAL
dave cobb12/15/2003shreveport- la,2024,HOU
juan ramirez01/24/2004east moline- il,2024,TEX
talos haritos11/02/2003port orange- fl,2024,NYY
jerry childs07/18/2003garden grove- ca,2024,KC
juan feliz01/24/2001san juan- san,2024,TOR
a.j. jones08/25/2004lemoore station- ca,2024,CWS
elton watts08/02/2005longview- tx,2024,LAA
chris watson12/30/2003laguna niguel- ca,2024,BOS
bob thomas06/06/2002minneapolis- mn,2024,NYM
jose velasquez01/15/2004villanova- pa,2024,HOU
steve lowe03/23/2005arden-arcade- ca,2024,UNSIGNED
vojislav zivkovic03/02/2004holladay- ut,2024,TOR
mike simpson04/08/2001lafayette- la,2024,SF
jeremy parks04/01/2005seattle- wa,2024,NYY
eric bennett09/01/2005elkton- md,2024,UNSIGNED
bob martin06/26/2005starkville- ms,2024,SF
steve macdonald07/14/2005hopkins- mn,2024,HOU
tim raines06/05/2005orlando- fl,2024,MIN
jimmy nixon07/30/2003phoenix- az,2024,OAK
leo dorsey10/28/2002baton rouge- la,2024,COL
buddy skeen03/10/2005englewood- co,2024,ARI
jim martinez07/06/2001chicago- il,2024,SEA
ollie riehl03/16/2001nashua- nh,2024,SF
bob sanderson04/26/2005portland- or,2024,UNSIGNED
josh o'neil09/11/2004joplin- mo,2024,CWS
oscar wood08/16/2002la crosse- wi,2024,CIN
jerry smith08/08/2001avalon- ca,2024,UNSIGNED
hector rodriguez07/04/2003wichita- ks,2024,CIN
tony fernandez09/23/2003bayamon- bay,2024,DET
jorge sandoval08/20/2003auburn- al,2024,BOS
vic anderson08/27/2001stony point- nc,2024,TOR
billy rogers01/29/2006norwood- nc,2024,MIA
tyrone wright01/04/2004hoboken- nj,2024,MIL
cristo mercado03/18/2005new york- ny,2024,NYM
darryl jackson06/02/2003chicago- il,2024,NYY
tommy maddox05/20/2003manhattan- ks,2024,COL
danny owens11/04/2003hayfork- ca,2024,NYY
paco scott03/02/2006phoenix- az,2024,BOS
tang-thuy dinh07/21/2005west milford- nj,2024,UNSIGNED
thad potter06/30/2002la pryor- tx,2024,HOU
ken williams10/26/2002northbrook- il,2024,CIN
alex starks10/16/2003arbutus- md,2024,NYY
ron smith06/29/2003arlington- va,2024,LAA
glen riggs02/27/2004wakeeney- ks,2024,UNSIGNED
randy maddox05/22/2005cherry hill- nj,2024,PIT
andy cain04/07/2002richardson- tx,2024,MIN
edwin stroud10/30/2005sanford- me,2024,NYY
garron ratzlaff11/04/2005pasadena- md,2024,MIN
jeff lee08/30/2003shenandoah- tx,2024,KC
dana sanders05/29/2001brooklyn- ny,2024,UNSIGNED
gabe fox03/14/2005los angeles- ca,2024,SF
josh mack10/13/2002seattle- wa,2024,HOU
joaquin rivera09/05/2001lombard- il,2024,WAS
jimmy dixon12/09/2002alpena- mi,2024,ATL
mike thompson05/27/2002darien- il,2024,COL
ken davis01/25/2006paradise- nv,2024,UNSIGNED
abel hanson12/08/2006circleville- oh,2024,LAD
bob hartman10/20/2001mesa- az,2024,CIN
pete cochran11/14/2003detroit- mi,2024,UNSIGNED
johnny ibarra02/24/2004concord- nc,2024,SD
steve cameron03/03/2003arcadia- ca,2024,UNSIGNED
josh gates07/08/2005fulton- ky,2024,ATL
jimmy foster08/03/2005cleveland- oh,2024,ARI
bob garner11/20/2005sacramento- ca,2024,CLE
josh price08/20/2000york- me,2024,HOU
brad budd01/16/2002carrollton- tx,2024,STL
rob owens07/23/2002west tisbury- ma,2024,CIN
julian caruajal11/16/2002bayamon- bay,2024,NYM
ron henry12/09/2003new york- ny,2024,ATL
joe moore10/31/2001houston- tx,2024,COL
danny sharp02/02/2001heber- ut,2024,STL
jerry gibson04/23/2002los angeles- ca,2024,TOR
derek lewis04/15/2001wichita- ks,2024,ATL
pat baker03/22/2003magna- ut,2024,CIN
greg cooper05/03/2004santee- ca,2024,UNSIGNED
pat buckner01/21/2005akron- oh,2024,OAK
willie sterling12/30/2003van wert- oh,2024,DET
johnny hobbs03/04/2006holden heights- fl,2024,LAD
jesus longoria04/04/2005chicago- il,2024,PIT
joe allen08/05/2003dallas- tx,2024,DET
eric denning03/14/2000wyckoff- nj,2024,LAA
jon morgan08/13/2003folsom- ca,2024,MIL
stephane martins07/09/2003strathcona- ab,2024,SD
wes robertson03/05/2005los angeles- ca,2024,HOU
quentin saunders01/28/2004monson- ma,2024,COL
darrell warner06/11/2005river edge- nj,2024,NYY
tommy reed12/06/2002east brunswick- nj,2024,PHI
ed rogers10/15/2001petaluma- ca,2024,KC
jose martines05/19/2003barcelona- anz,2024,LAA
rob adams10/03/2003sun valley- nv,2024,COL
abel poe10/29/2004st. francis- mn,2024,ATL
dave smith12/27/2003west wareham- ma,2024,LAA
pancho gonzalez11/01/2002paragould- ar,2024,CHC
brad bateman09/28/2002san jose- ca,2024,COL
ron baker04/03/2002los angeles- ca,2024,CHC
dave o'neal09/21/2004tavares- fl,2024,TEX
dan hannah10/26/2005tulsa- ok,2024,BOS
mike green09/22/2006san antonio- tx,2024,CLE
albert perez06/14/2005north mankato- mn,2024,TEX
sepa pipa05/21/2005jay- me,2024,TOR
jeff jones06/14/2003commerce city- co,2024,BOS
antonio villarreal02/12/2006dumas- tx,2024,NYM
josh johnson04/14/2001new york- ny,2024,ATL
pete white08/09/2003orlovista- fl,2024,PIT
stan jefferson03/17/2005fairbanks- ak,2024,WAS
sean webb08/07/2006enterprise- ut,2024,CIN
don dockery09/04/2003detroit- mi,2024,KC
joe medina03/19/2003sterling- co,2024,SF
rod caldwell12/06/2006chula vista- ca,2024,BOS
doug garza07/30/2003mobile- al,2024,WAS
geoffrey moody07/04/2003white plains- ny,2024,NYY
a.c. bryant07/12/2002circleville- oh,2024,MIN
dave lambright10/07/2006buffalo- ny,2024,COL
jorge cardoza01/28/2002san juan- san,2024,NYY
ruben reyes10/31/2005edwardsville- il,2024,ARI
jeff brown06/20/2005menominee- mi,2024,SF
cliff johnson04/27/2003west salem- wi,2024,UNSIGNED
don beard01/11/2002sun city- az,2024,BAL
dave roberson02/12/2004new york- ny,2024,CIN
jorge rodriguez11/21/2002santo domingo- chi,2024,TB
rob paul11/26/2003milford- pa,2024,OAK
ed white11/22/2003houston- tx,2024,WAS
joe curran08/20/2005clyde- tx,2024,COL
andy byrne08/16/2003brooklyn- ny,2024,MIN
randy williams02/07/2002new hampton- ia,2024,CLE
don hensley06/04/2005cape girardeau- mo,2024,BOS
bob hyde09/12/2005corona- ca,2024,BAL
sean moore01/09/2003tempe- az,2024,MIA
jose gutierrez07/12/2003norwood- ma,2024,CIN
loren chapman07/11/2001st. louis park- mn,2024,MIA
karl zhang12/16/2002coquitlam- bc,2024,UNSIGNED
derek clements02/08/2002san diego- ca,2024,BAL
chris anderson08/20/2001havre- mt,2024,SD
alvin glass12/06/2005brockton- ma,2024,TB
charlie carter08/06/2003adrian- mo,2024,SF
chris monterio09/05/2002richmond- tx,2024,MIA
jonathan hebert10/10/2005canton- oh,2024,NYM
mario amezaga08/07/2005santiago de cuba- san,2024,CLE
mike dawson06/04/2005huntsville- al,2024,ARI
eric park02/18/2001chalmette- la,2024,TB
hank hollingsworth08/07/2004green bay- wi,2024,WAS
greg thompson08/03/2003new baltimore- mi,2024,LAA
joe benitez11/22/2005valinda- ca,2024,UNSIGNED
bob parker07/22/2003buffalo- ny,2024,WAS
ben robbins08/02/2005sherwood- ar,2024,KC
rob castle06/04/2003oklahoma city- ok,2024,OAK
steve wilson05/17/2003new braunfels- tx,2024,DET
jesus mendoza01/03/2004san juan- san,2024,UNSIGNED
alan schmidt10/06/2003wilsonville- or,2024,MIN
brad benson08/21/2004minneapolis- mn,2024,SEA
ignacio ramirez06/12/2005santiago de cuba- san,2024,OAK
joe howell03/11/2006ft. worth- tx,2024,NYM
alfredo soto08/27/2003greenfield- nh,2024,MIL
mike lloyd07/25/2003columbia- sc,2024,BOS
antonio toledo08/23/2005trujillo alto- car,2024,BOS
deann moore11/30/2005greensboro- ga,2024,TB
tim bailey10/05/2003lynnfield- ma,2024,ATL
sergio martinez06/13/2001greeley- co,2024,BOS
joe martinez12/05/2003riverside- ca,2024,BOS
jesus nava02/14/2005wildwood- mo,2024,BAL
nate farley02/05/2004makakilo city- hi,2024,UNSIGNED
stan long05/27/2003san jose- ca,2024,TOR
joe kessler11/16/2002seven oaks- sc,2024,TEX
jon mcgough09/23/2002east haven- ct,2024,CIN
leo clay07/13/2005union city- ca,2024,LAA
mauro molina04/29/2005san juan- san,2024,COL
jonathan jones08/09/2003chelsea- ma,2024,STL
tim simmons01/14/2004medford- nj,2024,CIN
steve rouse04/12/2004hialeah gardens- fl,2024,PIT
lynwood dyer03/29/2001franklin- in,2024,NYY
jorge villegas04/28/2005sacramento- ca,2024,CWS
jeremy hicks11/03/2002mccandless township- pa,2024,TEX
rob boman06/13/2003mooresville- in,2024,OAK
albert diaz05/29/2002san juan- san,2024,CIN
kevin anderson04/23/2004stratham- nh,2024,MIL
bobby mccall07/12/2005boston- ma,2024,COL
tony dixon08/12/2005new orleans- la,2024,PHI
jorge cano07/02/2003woodfin- nc,2024,STL
andy swain12/19/2004mantua township- nj,2024,CWS
dana powers07/25/2005brooklyn- ny,2024,STL
conan lucas07/16/2002waynesville- mo,2024,ARI
tim johnston12/24/2003chesterfield- mo,2024,PHI
bob picot11/26/2005red bank- nj,2024,UNSIGNED
spike lester05/19/2002bothell- wa,2024,STL
hugh baker12/16/2003dover- de,2024,MIN
artie hawthorn08/26/2005north providence- ri,2024,TB
abel turner12/19/2002katy- tx,2024,LAD
hugh baer07/05/2001seminole manor- fl,2024,KC
jerry kincade02/04/2006folly beach- sc,2024,CWS
doug hughes11/16/2003monahans- tx,2024,OAK
mike buenavidez01/31/2002norman- ok,2024,TOR
ernie robinson03/20/2004boston- ma,2024,CIN
rudy washington03/02/2003greenville- il,2024,MIL
alex gordon06/05/2001wildwood- mo,2024,MIN
dave rogers06/21/2003walled lake- mi,2024,TB
jon fields09/17/2003mobile- al,2024,STL
ed dawson03/27/2005bridgewater- va,2024,UNSIGNED
darren o'brien11/03/2005miami- fl,2024,OAK
wilbis dean03/16/2005chicago- il,2024,STL
dan morrison02/06/2004austin- tx,2024,TOR
lou witt06/03/2002hamden- ct,2024,MIN
lyndon myers03/30/2005tampa- fl,2024,UNSIGNED
brad paul08/28/2004memphis- tn,2024,LAA
gilberto mireles05/04/2006barceloneta- are,2024,TB
dave francis05/15/2003elfers- fl,2024,DET
ricky hughes06/13/2005downers grove- il,2024,LAA
ken davis02/28/2001saginaw township north- mi,2024,TB
mac lord02/02/2002worcester- ma,2024,LAA
ken o'donelan04/10/2005boston- ma,2024,DET
